keys,en,de
MAIN_EXIT,Exit,Beenden
MAIN_SYNCHRONIZE,Synchronize,Synchronisieren
MAIN_SETTINGS,Settings,Einstellungen
MAIN_PREVIOUS,Previous,Zurück
MAIN_NEXT,Next,Vor
MAIN_COLLECTIONS,Collections,Sammlungen
MAIN_LOADING,Loading…,Lade…
MAIN_COLL_PLACEHOLDER,No collections found. Please synchronize and download a collection.,Keine Sammlungen gefunden. Bitte synchronisieren und eine Sammlung herunterladen.
MAIN_DOWNLOADING,Downloading…,Downloading…
MAIN_SYNCHRONIZING,Synchronizing…,Synchronisiere…
MAIN_OPEN,Open,Öffnen
MAIN_SETTINGS,Settings,Einstellungen
MAIN_SETTINGS_BACK,Back,Zurück
MAIN_SETTINGS_MUSIC,Music Settings,Musik
MAIN_SETTINGS_PLAY_MUSIC,Enables or disables ambient music.,Aktiviert oder deaktiviert die Hintergrundmusik.
MAIN_SETTINGS_MUSIC_VOLUME,Adjusts the ambient music’s volume.,Regelt die Lautstärke der Hintergrundmusik.
MAIN_SETTINGS_CONTROLS,Controls Settings,Steuerung
MAIN_SETTINGS_ACTIVE_HAND,The active hand used throughout the application will automatically be set by pressing the trigger button of the desired controller.,"Die aktive Hand, die zur Benutzung der Anwendung verwendet wird, kann durch drücken der Trigger-Taste ausgewählt werden."
COLL_QUIT,Quit,Verlassen
COLL_BACK,Back,Zurück
COLL_ITEM_DESCRIPTION,Description,Beschreibung
PAGE_TITLE,Title,Titel
TEXT,Text,Text
ITEM_SEARCH,Items,Ausstellungsstücke
INFO_BOX,Info,Info
AVATAR,Avatar,Avatar
SPACE,Space,Leerraum
IMAGE_TEXT,Text,Text
